,molecule_chembl_id,IC50,units,smiles,pIC50
2482,CHEMBL248116,36.0,nM,NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,7.443697499232712
2483,CHEMBL5284255,36.0,nM,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn4c5c(cccc35)OCC4)n2)c(OC)cc1N(C)CCN(C)C,7.443697499232712
2484,CHEMBL3647419,36.0,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/[C@@H]1C[C@@H](O)CN1C,7.443697499232712
2485,CHEMBL3132872,36.0,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3F)c2c1,7.443697499232712
2486,CHEMBL3934034,36.0,nM,CCC(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1OC,7.443697499232712
2487,CHEMBL4228176,36.0,nM,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCC(N(CC)CC)CC4)cc3OC)n2)c1,7.443697499232712
2488,CHEMBL2425093,36.0,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(CCO2)C1,7.443697499232712
2489,CHEMBL3890751,36.0,nM,CCOc1cc2ncnc(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCCC1,7.443697499232712
2490,CHEMBL3671563,36.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)N1CCOCC1,7.443697499232712
2491,CHEMBL5273000,36.0,nM,COc1cc2c(Nc3ccc(Oc4cccc(F)c4)cc3)ncnc2cc1OCC1CCN(C)CC1,7.443697499232712
2492,CHEMBL4446124,36.0,nM,N#Cc1cnc2ccc(NC(=O)CC3CCSS3)cc2c1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,7.443697499232712
2493,CHEMBL3806200,36.2,nM,COCCOc1cc2ncnc(Nc3ccc(Cl)c([N+](=O)[O-])c3)c2c2c1OCCO2,7.441291429466834
2494,CHEMBL4072769,36.8,nM,Cc1cccc(Nc2ncnc3ccc(NC(=S)NCc4ccccc4)cc23)c1,7.434152181326482
