,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hbd,n_hba,logp,passed,MACCS_clusters,ECFP4_clusters
2149,CHEMBL485745,6300.0,nM,Fc1ccc(-c2nn3ccccc3c2-c2ccncc2)cc1,5.200659450546418,289.101525604,0,3,4.202400000000003,True,34,491
2150,CHEMBL204223,6300.0,nM,COc1cc(OC)c2c(c1)Oc1ncnc(Nc3cccc(Br)c3)c1NC2,5.200659450546418,428.0484025040001,2,7,4.7177000000000024,True,19,31
2151,CHEMBL5190227,6302.0,nM,COc1cc2ncnc3c2cc1OCCOCCOc1cc(Cl)cc(c1)N3,5.200521601162019,387.098583736,1,7,3.8232000000000017,True,0,25
2152,CHEMBL3263374,6310.0,nM,O=C1CSC(N2N=C(c3ccccc3)CC2c2ccc3ccccc3c2)=N1,5.199970640755866,371.10923316400005,0,4,4.620300000000004,True,6,4
2153,CHEMBL1242379,6340.0,nM,COc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1OC,5.1979107421182675,327.169524912,1,7,2.8477000000000006,True,4,3
2154,CHEMBL483321,6400.0,nM,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,5.1938200260161125,469.211389724,2,7,4.953340000000003,True,7,219
2155,CHEMBL1828869,6410.0,nM,O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(Br)cc1,5.193141970481182,370.96270453200003,1,3,2.6358000000000006,True,17,27
2156,CHEMBL1242113,6450.0,nM,CCn1nc(-c2ccc(OC)c(O)c2)c2c(N)ncnc21,5.1904402853647325,285.12257472000005,2,7,1.8095999999999999,True,7,78
2157,CHEMBL1958038,6480.0,nM,O=C1CSC(N2N=C(c3ccc(Br)cc3)CC2c2ccc(F)cc2)=N1,5.188424994129407,416.9946733560001,0,4,4.368700000000003,True,6,4
2158,CHEMBL1958035,6670.0,nM,Cc1ccc(C2CC(c3ccc(Cl)cc3)=NN2C2=NC(=O)CS2)cc1,5.175874166083451,369.070260812,0,4,4.428920000000004,True,6,4
2159,CHEMBL56236,6680.0,nM,Cc1cc(C)c(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C,5.175223537524454,392.23245951599995,3,5,4.427680000000001,True,98,107
2160,CHEMBL1241863,6700.0,nM,CC(C)n1nc(-c2ccc3[nH]c(=O)ccc3c2)c2c(N)ncnc21,5.173925197299174,320.138559132,2,6,2.4978999999999996,True,4,225
2161,CHEMBL1828865,6740.0,nM,O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccccc1,5.17134010346468,293.052192464,1,3,1.8733,True,17,27
2162,CHEMBL2064391,6800.0,nM,CC(=O)c1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,5.167491087293763,447.19065428000005,1,9,3.2062000000000017,True,0,21
2163,CHEMBL1641993,6900.0,nM,N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)CCN3CCOCC3)ccc12,5.161150909262744,479.095687044,2,6,4.273380000000003,True,8,71
2164,CHEMBL4215703,6900.0,nM,Cc1cc(=O)n(-c2ccc(F)cc2)nc1C(=O)Nc1ccc(Oc2ncnc3ccsc23)c(F)c1,5.161150909262744,491.08636678,1,8,4.868420000000002,True,25,286
