,molecule_chembl_id,IC50,units,smiles,pIC50
4936,CHEMBL169200,900.0,nM,COc1cccc(-c2cn(C3CCN(CCO)CC3)c3ncnc(N)c23)c1,6.045757490560675
4937,CHEMBL3098325,900.0,nM,COc1cc2nc(Cl)nc(Nc3ccc(C(N)=O)cc3)c2cc1OC,6.045757490560675
4938,CHEMBL3221554,900.0,nM,CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C.Cl,6.045757490560675
4939,CHEMBL185686,900.0,nM,O=c1c2cccc(O)c2oc2cccc(O)c12,6.045757490560675
4940,CHEMBL2403108,900.0,nM,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,6.045757490560675
4941,CHEMBL4207316,900.0,nM,CCc1c(C(=O)NC(CO)Cc2ccccc2)[nH]c2ccc(C(F)(F)F)cc12,6.045757490560675
4942,CHEMBL4753008,900.0,nM,Cn1c(-c2ccccc2)cc2c(N[C@H](CO)c3ccccc3)ncnc21,6.045757490560675
4943,CHEMBL217090,900.0,nM,Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2,6.045757490560675
4944,CHEMBL2018760,900.0,nM,CCOC(=O)Nc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1Cl,6.045757490560675
4945,CHEMBL490780,900.0,nM,CCOc1cc(/C=C2/CCNC2=O)cc(CSc2ccccc2)c1O,6.045757490560675
4946,CHEMBL336409,900.0,nM,N[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,6.045757490560675
4947,CHEMBL2018757,900.0,nM,CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C,6.045757490560675
4948,CHEMBL2018756,900.0,nM,CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C,6.045757490560675
4949,CHEMBL3221561,900.0,nM,CCOC(=O)Nc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1Cl.Cl,6.045757490560675
4950,CHEMBL4283517,901.0,nM,COc1cc(Nc2cc(Nc3ccc(Cl)cc3)ncn2)cc(OC)c1OC,6.045275209020937
